Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C204, C205, C206, C207, C208, C209, C210, C211, C215, C301, C302, C303, C304, C305, C306, C315, C401",0402,18,100nF,
"C202, C203",0402,2,1uF,
"C307, C314",0402,2,4.7uF,
"C308, C313",0402,2,10n,
"C309, C310",0402,2,6.8nF,
C311,1206,1,1nF,
C312,0402,1,22nF,
C402,0805,1,10uF,
C403,CP_Elec_6.3x5.8,1,100uF,
"C404, C405",0603,2,10uF,
D401,D_SOD-123,1,1N4148,
D402,D_SOD-123,1, RBR5RSM40BTF,
D403,0805,1,White,
F403,Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,1,Polyfuse,
"FB301, FB401",0805,2,120R,
"H401, H402",MountingHole_3.2mm_M3_DIN965,2,MountingHole,
J201,PinHeader_2x02_P2.54mm_Vertical,1,SWD,
J202,PinSocket_2x06_P2.54mm_Vertical,1,Expansion,
J203,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
J301,08B1-1X1T-06-F,1,08B1-1X1T-06-F,
J401,Terminal-Block-01x07_P3.81,1,IO,
JP1,0402_Jumper_3pin,1,CLK JUMPER,
L401,L_Coilcraft_LPS3010,1,15uH,
"Q401, Q402, Q403",SOT-23,3,AO3400A,
R201,0402,1,1k,
"R301, R302, R303, R304",0402,4,33,
"R305, R306, R308, R309",0402,4,50,
R307,0402,1,10,
R310,0402,1,12k4,
"R401, R403, R404, R411",0402,4,10k,
R402,0402,1,31k6,
"R405, R406, R410",0402,3,0R,
R409,0402,1,180,
SW201,SW_SPST_B3U-1000P,1,BOOT,
SW202,SW_SPST_B3U-1000P,1,RESET,
U201,RP2040-QFN-56,1,RP2040,
U202,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U203,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,ASDMB-12.000MHZ-LC-T,
U301,TQFP-48_7x7mm_P0.5mm,1,W5500,
U302,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,ASDMB-25.000MHZ-LC-T,
U401,SOT-23-6,1,MCP16301,
